id,title,exam_number,section,teil,page_count,question_count,answer_key_status,validation_status,version_number,pdf_location,fingerprint
"fbb5d766-c561-4852-8add-5ac3c0050c5b","Parking 1","1","lesen","2","2","5","complete","NEEDS_REPROCESS","1","lesen teil 2 (1).pdf p.1-2","bd7bb036815c99a2b75c08484235f6a7d2b7a000b0f9072881a8d3556e361864"
"3bec2b8c-6df9-475c-97d8-ba6e10cefeb2","Parking 2","1","lesen","2","2","5","complete","NEEDS_REPROCESS","2","lesen teil 2 (1).pdf p.3-4","6d429fb3111c872048f1f9cbbb9a9a05a14fb287e851b7c772a62461a642715e"
"c48da227-283f-44a5-a8e0-648112a079d2","Traumfrau und Traummann gesucht 1","1","lesen","2","2","5","complete","VALIDATED","1","lesen teil 2 (1).pdf p.5-6","023d821469dcecb024f46a120a5a787abf6a6234d35d76089d8b88014056e9ae"
"9d1c695e-6794-4376-b982-835cb36e1483","Traumfrau und Traummann gesucht 2","1","lesen","2","2","5","complete","VALIDATED","2","lesen teil 2 (1).pdf p.7-8","82a86fc6668770d76f36209edb6e9c61be0f76c7f8f607d25adf9e9135d8df52"
"b48f4260-83e1-481d-9497-c0854c5305d5","Der Fluch des Informationszeitalters oder Alles schon vergessen? 1","1","lesen","2","2","5","complete","VALIDATED","1","lesen teil 2 (1).pdf p.9-10","ce4f5e52c71a4762daad33979c29ef1a4946574aed4386da0b4527b1ee20452f"
"483d7b7e-eb74-43d4-8fc0-04dcd0ec28e5","Der Fluch des Informationszeitalters oder alles schon vergessen? 2","1","lesen","2","2","5","complete","VALIDATED","2","lesen teil 2 (1).pdf p.11-12","2ec0d8a5e3856086ef75d9749b43fa3f4fe2c6d0300e2fc843584de4d77620df"
"0689da42-1a93-4cff-9c37-5c9ddb9f8f0f","Der Fluch des Informationszeitalters oder Alles schon vergessen? Oder Der Kampf mit der Informationsflut","1","lesen","2","2","5","complete","VALIDATED","","lesen teil 2 (1).pdf p.13-14","4d5956ccf6b84884599bc664887e57964d2f16576e325421170ebc10fd7ff978"
"9679b1f8-2dd1-44de-b13b-e415a0cd5bb3","Unverpackte Waren im Supermarkt: Geht's auch ohne?","1","lesen","2","2","5","complete","NEEDS_REPROCESS","","lesen teil 2 (1).pdf p.15-16","c8dea52d94cd5be1e81c83b4d041abe4318eb6e1b732059c708af7d424b1047e"
"d9d2e612-a40a-43be-a239-3a435ec0d0fe","Die Deutschen und ihre Ernährung","1","lesen","2","2","5","complete","NEEDS_REPROCESS","","lesen teil 2 (1).pdf p.17-18","b53caae3b2d1a01641f34b72ee89322ec6d03939205154fb5e76cf65427863be"
"acd34279-999e-4dd0-827c-88085635a130","Kaufen und Konsum","1","lesen","2","2","5","complete","VALIDATED","","lesen teil 2 (1).pdf p.19-20","84415292b90ed6437ad3c918cf184388d2591ad3e0b32cec3f0f97bf1fe6cee9"
"304162e0-0e54-4a10-8ea2-2280a975496d","Ein Leben für den Kaffee 1","1","lesen","2","2","5","complete","VALIDATED","1","lesen teil 2 (1).pdf p.21-22","2dd39faeefb276755b8094cf7e615fc399a3d8084cb3cb0b01e67156c9073837"
"d83053bb-79fe-47a5-90a6-b2b36aa71eee","Bremer Kaffeerösterei Münchhausen eine der letzten traditionellen Röstereien","1","lesen","2","2","5","complete","VALIDATED","","lesen teil 2 (1).pdf p.23-24","72a961669b23961034479a20bf4d0942f2eadb094c2f5af8ebca4b2c2b64d2b1"
"f68af0d2-2542-44cd-a437-afc8e2d43f24","Ein Leben für den Kaffee 2","1","lesen","2","2","5","complete","VALIDATED","2","lesen teil 2 (1).pdf p.25-26","b29cdef580fe1d127969ca2a01d4f5d417810a3123702ab7e88609509e82b090"
"5d3a6aff-ce22-4c00-b54a-12bdfe72017c","Ein Leben für den Kaffee 3","1","lesen","2","2","5","complete","VALIDATED","3","lesen teil 2 (1).pdf p.27-28","ed9f10b47364c73a3eb624da2606e30ec2f8ddf7ca8d12879b7d0cddfa8b8a6b"
"c113b0d8-0da1-49b5-aa1e-a9bc362afc33","Großraumbüros","1","lesen","2","2","5","complete","VALIDATED","","lesen teil 2 (1).pdf p.29-30","cb7d87fbc5302f2da4fba37e25736605ec659ab307a2be268c01a88e50d93975"
"95d9af4f-8257-4fa4-88f0-e92aab04da09","Familienglück oder Generationskonflikte?","1","lesen","2","2","5","complete","VALIDATED","","lesen teil 2 (1).pdf p.31-32","53a2b891aef1176e61e7d91a1fe379f024c00962a2c7bb78740668ca6041994a"
"84740d1b-a38e-486a-b3db-59eaad443902","Kreditkarten für Jugendliche","1","lesen","2","2","5","complete","NEEDS_REPROCESS","","lesen teil 2 (1).pdf p.33-34","251762177c47b951d3d25b3cc6e8d171de80330a756990c8883e57131e601e8f"
"c63eb915-9d9b-4850-a2b3-ebc77b6c6176","Kuh Krista, der tierische Star","1","lesen","2","2","5","complete","VALIDATED","","lesen teil 2 (1).pdf p.35-36","3788498299c4b3b1341c342aec6ded2719f69487feda0a41c2ed60dbcc96e789"
"1ff6b6fe-c0e6-4e06-aa91-e2b4828f5858","Krista, der Kuh-Star","1","lesen","2","2","5","complete","VALIDATED","","lesen teil 2 (1).pdf p.37-38","0d320920574a4d5f873a36245fb36546b8261a057b2fd8402c08f97c811d8d3b"
"72797d81-223a-4882-8cc7-109359a7280e","Wie Babys lernen","1","lesen","2","2","5","complete","NEEDS_REPROCESS","","lesen teil 2 (1).pdf p.39-40","41f8a88c036e1065ba584fa28b857b32e04579499eb084c156a576f83d605e42"
"eb9a17f1-9fb2-41bb-8a39-bf6a5e284a13","Der Ein-Personen-Karneval von Unna","1","lesen","2","2","5","complete","VALIDATED","","lesen teil 2 (1).pdf p.41-42","4095f49a5c676259740426e954a6b7e747378ba2619a52c60f10c9dd1522c8c4"